1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)	6.2.1.30 2.3.1.- 1.1.1.259 1.1.1.368 4.2.1.100 1.3.7.8 1.2.-.- 3.1.2.25 1.17.5.1 6.2.1.27 1.3.7.9 6.2.1.32 4.1.1.43 1.2.1.39 2.6.1.1 2.6.1.57 2.6.1.27 6.2.1.25 4.2.1.- 1.3.8.3 2.8.3.15 4.1.99.11 1.1.1.- 2.3.1.M17
&beta;-alanine degradation I	2.6.1.19 1.2.1.18
glycine betaine biosynthesis I (Gram-negative bacteria)	1.2.1.8 1.1.99.1
lactose degradation III	3.2.1.108
biotin biosynthesis I	1.1.1.100 2.8.1.6 6.3.3.3 2.6.1.62 2.3.1.47 3.1.1.85 1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 4.2.1.59 2.1.1.197 2.3.1.179 2.3.1.41
superpathway of branched chain amino acid biosynthesis	2.6.1.6 2.6.1.42 2.3.3.13 4.2.1.9 2.6.1.42 1.1.1.86 2.2.1.6 4.2.1.9 2.6.1.42 1.1.1.86 2.2.1.6 3.5.99.10
spermidine biosynthesis I	2.5.1.16 4.1.1.50
Calvin-Benson-Bassham cycle	2.2.1.1 5.3.1.6 2.2.1.1 3.1.3.37 4.1.2.- 3.1.3.11 4.1.2.13 5.3.1.1 1.2.1.13 2.7.2.3 4.1.1.39 2.7.1.19 5.1.3.1
camalexin biosynthesis	3.4.13.a 3.4.19.16 2.5.1.18
L-carnitine degradation I	1.3.8.13 4.2.1.149 2.8.3.21 6.2.1.48
superpathway of carotenoid biosynthesis in plants	1.14.14.158 5.2.1.12 1.14.99.- 5.5.1.19 5.5.1.18 5.2.1.- 5.3.99.9 5.5.1.19 5.5.1.19 5.2.1.13
catechol degradation to &beta;-ketoadipate	3.1.1.24 1.13.11.1 5.5.1.1 5.3.3.4
benzoyl-CoA degradation II (anaerobic)	1.3.7.8 2.3.1.- 1.1.1.259 1.1.1.368 4.2.1.100
pyruvate fermentation to butanoate	1.2.7.1 2.7.2.7 2.3.1.19 1.3.8.1 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	4.1.1.37 1.3.1.33 2.1.1.11 6.6.1.1 1.3.3.4 1.3.3.3
choline degradation I	1.2.1.8 1.1.99.1
L-citrulline biosynthesis	2.1.3.3 2.7.2.11 2.6.1.13 1.2.1.41 3.5.1.38 3.5.1.2 1.5.5.2 3.5.3.1
L-citrulline degradation	2.1.3.3
methanogenesis from methanol	2.1.1.90 2.1.1.246
superpathway of coenzyme A biosynthesis III (mammals)	6.3.2.51 2.7.1.24 2.7.7.3 4.1.1.36 2.7.1.33
coenzyme A biosynthesis I (prokaryotic)	2.7.7.3 6.3.2.5 2.7.1.24 4.1.1.36
superpathway of adenosylcobalamin salvage from cobinamide I	2.7.8.26 3.1.3.73 2.7.7.62 2.4.2.21 2.7.1.156
reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	1.2.7.4 2.3.1.169 2.1.1.258 1.5.1.20 1.5.7.1 1.5.1.5 3.5.4.9 6.3.4.3 1.17.1.10
colanic acid building blocks biosynthesis	5.3.1.9 4.2.1.47 2.7.7.13 5.4.2.8 5.3.1.8 2.7.7.64 2.7.7.9 1.1.1.22 5.1.3.2 5.4.2.2
superpathway of aromatic amino acid biosynthesis	4.2.1.122 4.1.1.48 4.2.1.51 4.2.3.4 2.5.1.19 1.1.1.282 2.6.1.27 2.6.1.5 2.6.1.57 1.3.1.12 2.6.1.1 2.6.1.57 2.6.1.27 5.4.99.5 4.1.2.8 5.3.1.24 2.4.2.18 4.1.3.27 4.2.3.5 2.7.1.71 1.1.1.25 4.2.1.10 2.5.1.54
creatinine degradation I	1.5.3.1 3.5.2.10 1.5.8.3 3.5.3.3
cyanate degradation	4.2.1.1
cyclohexanol degradation	1.2.1.63 1.1.1.258 3.1.1.- 1.1.1.245 1.14.13.22
L-cysteine degradation I	3.13.1.- 2.6.1.- 1.13.11.20
L-cysteine biosynthesis I	2.5.1.47 2.3.1.30
L-lysine biosynthesis I	4.3.3.7 4.1.1.20 5.1.1.7 3.5.1.18 2.6.1.17 2.3.1.117 1.17.1.8 1.2.1.11 2.7.2.4
D-arabinose degradation I	1.2.1.21 5.3.1.3
D-arabinose degradation II	2.7.1.47 5.3.1.3
D-arabitol degradation	2.7.1.17 1.1.1.11
nitrate reduction I (denitrification)	1.7.2.5 1.7.2.4 1.7.2.1 1.7.5.1
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	6.3.5.2 1.1.98.6 2.7.4.6 1.17.4.1 1.17.4.1 2.7.4.6 2.7.4.8 6.3.4.4 1.1.98.6 2.7.4.6 1.17.4.1 1.17.4.1 2.7.4.3 4.3.2.2 2.4.2.14 6.3.4.13 6.3.5.3 6.3.3.1 2.1.2.- 6.3.2.6 4.3.2.2 2.1.2.3 3.5.4.10 5.4.99.18 6.3.4.18 1.1.1.205
benzenesulfonate degradation	1.14.12.-
reactive oxygen species degradation	1.11.1.9 1.11.1.6 1.11.1.21 1.15.1.1
superoxide radicals degradation	1.15.1.1 1.11.1.6 1.11.1.21
glucose degradation (oxidative)	1.1.99.3 1.1.1.43 2.7.1.13 3.1.1.17 1.1.5.2
dissimilatory sulfate reduction I (to hydrogen sufide))	2.7.7.4 1.8.99.2 1.8.5.M1 1.8.99.5
dTDP-L-rhamnose biosynthesis	2.7.7.24 1.1.1.133 5.1.3.13 4.2.1.46
enterobacterial common antigen biosynthesis	2.4.1.180 2.4.1.325 2.7.8.33 2.3.1.210 2.6.1.59 2.7.7.24 4.2.1.46 1.1.1.336 5.1.3.14
enterobactin biosynthesis	2.7.8.7 2.7.7.58 2.7.8.7 5.4.4.2 3.3.2.1 1.3.1.28
Entner-Doudoroff shunt	4.1.2.55 4.1.2.14 4.2.1.12
superpathway of ergosterol biosynthesis I	1.14.14.17 5.4.99.7 2.5.1.21 1.3.1.70 1.3.1.71 1.14.19.41 1.14.19.20 2.1.1.41 1.1.1.270 1.1.1.170 1.1.1.270 1.1.1.170 2.5.1.1 2.5.1.10 5.3.3.2 2.3.1.16 2.3.1.9 4.1.1.33 2.7.4.2 2.7.1.36 1.1.1.34 2.3.3.10
ethylene biosynthesis I (plants)	2.5.1.6 1.14.17.4 4.4.1.14
ethanol degradation I	1.1.1.1 1.2.1.10
fatty acid &beta;-oxidation I	4.2.1.17 2.3.1.16 1.1.1.35 5.1.2.3 6.2.1.- 1.3.8.- 5.3.3.8
fatty acid elongation -- saturated	1.3.1.9 2.3.1.86 2.3.1.85 1.1.1.100 1.3.1.39 1.3.1.104 2.3.1.86 2.3.1.85 1.3.1.10 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86
superpathway of fatty acid biosynthesis initiation (E. coli)	2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86 2.1.3.15 4.1.1.M15 2.3.1.180 2.3.1.86 2.3.1.85 2.3.1.39 2.3.1.86 2.3.1.85 2.3.1.38
mixed acid fermentation	2.3.1.8 2.7.2.15 2.7.2.1 2.3.1.54 1.1.1.42 2.3.3.16 2.3.3.1 1.1.1.1 1.2.1.10 2.7.1.40 1.1.1.28 4.2.1.2 1.3.5.4 4.1.1.31 1.1.1.37
sulfur oxidation II (Fe<sup>+3</sup>-dependent)	
fluorene degradation I	5.3.2.M1 1.1.1.256 1.14.13.-
superpathway of tetrahydrofolate biosynthesis and salvage	2.5.1.15 1.5.1.3 6.3.2.12 2.7.6.3 4.1.2.25 3.6.1.- 3.6.1.67 3.5.4.16 2.6.1.85 4.1.3.38 2.1.2.2 3.5.4.9
formaldehyde oxidation IV (thiol-independent)	1.2.1.46
fucose degradation	2.7.1.51 4.1.2.17 5.3.1.25 5.1.3.29
superpathway of fucose and rhamnose degradation	4.1.2.17 1.1.1.77 1.2.1.22 2.7.1.51 5.3.1.25 5.1.3.29 4.1.2.19 2.7.1.5 5.3.1.14 5.1.3.32
D-galactarate degradation I	4.1.2.20 2.7.1.165 1.1.1.60 4.2.1.42
D-galactonate degradation	4.2.1.140 4.2.1.6 4.1.2.55 4.1.2.21 2.7.1.178 2.7.1.58
superpathway of hexuronide and hexuronate degradation	4.2.1.8 4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 5.3.1.12 4.2.1.7 1.1.1.57 3.2.1.31 1.1.1.58 5.3.1.12
galactitol degradation	4.1.2.40 1.1.1.251 2.7.1.144 2.7.1.200
D-galacturonate degradation I	1.1.1.58 4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 4.2.1.7 5.3.1.12
D-galactose degradation II	1.1.1.48 3.1.1.25
gallate degradation I	4.2.1.83 4.1.3.17 1.13.11.57 5.3.2.8
gallate degradation II	4.2.1.83 4.1.3.17 5.3.2.8 1.13.11.- 3.1.1.57
&gamma;-hexachlorocyclohexane degradation	1.3.1.32 4.5.1.- 4.5.1.- 3.8.1.5 3.8.1.5 1.1.1.-
GDP-D-rhamnose biosynthesis	1.1.1.281 1.1.1.187 4.2.1.47
superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	3.5.99.6 3.5.1.25 5.1.3.9 4.1.3.3 2.7.1.60
L-glutamine biosynthesis I	6.3.1.2
<i>N</i>-acetylglucosamine degradation I	3.5.1.25 3.5.99.6
<i>D</i>-glucarate degradation I	4.2.1.40 2.7.1.165 4.1.2.20 1.1.1.60
superpathway of D-glucarate and D-galactarate degradation	1.1.1.60 2.7.1.165 4.2.1.40 4.1.2.20 4.2.1.42
gluconeogenesis I	1.1.1.37 3.1.3.11 5.3.1.1 5.3.1.9 4.1.2.13 1.2.1.12 2.7.2.3 5.4.2.12 4.2.1.11 4.1.1.49 2.7.9.2 1.1.1.40 1.1.1.38
D-gluconate degradation	2.7.1.12
glucose and glucose-1-phosphate degradation	5.4.2.2 2.7.1.1 2.7.1.2 1.1.5.2 3.1.1.17 3.1.3.10
superpathway of &beta;-D-glucuronosides degradation	2.7.1.178 2.7.1.45 4.1.2.55 4.1.2.14 5.3.1.12 4.2.1.8 1.1.1.57 3.2.1.31
L-glutamate degradation VII (to butanoate)	1.2.7.1 1.12.7.2 2.7.2.7 2.3.1.19 1.3.8.1 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9 4.1.3.22 4.2.1.34 4.3.1.2 5.4.99.1
GABA shunt	4.1.1.15 1.2.1.24 2.6.1.19 1.4.1.3
L-glutamate biosynthesis IV	1.4.1.14
L-glutamate degradation I	1.4.1.2
L-glutamate biosynthesis II	1.4.1.3
L-glutamine degradation I	3.5.1.38 3.5.1.2
L-glutamine degradation II	1.4.1.13
glutathione biosynthesis	6.3.2.2 6.3.2.3
L-glutamate degradation II	2.6.1.1 4.3.1.1
L-ornithine biosynthesis I	1.2.1.38 3.5.1.16 2.6.1.11 2.3.1.1 2.7.2.8
glutathione-glutaredoxin redox reactions	
L-glutamate biosynthesis III	1.4.1.4
L-glutamate biosynthesis I	1.4.1.13
glycerol degradation V	1.1.1.6 2.7.1.121
creatine biosynthesis	2.1.1.2 2.1.4.1
glycine biosynthesis II	1.4.4.2 1.8.1.4 2.1.2.10
glycine cleavage	1.4.4.2 1.8.1.4 2.1.2.10
glycogen degradation I	5.4.2.2 2.7.1.1 2.7.1.2 2.4.1.25 2.4.1.1 3.2.1.20 2.4.1.1 3.2.1.196 2.4.1.1
glycogen biosynthesis I (from ADP-D-Glucose)	5.4.2.2 2.4.1.18 2.4.1.21 2.7.7.27
glycolate and glyoxylate degradation I	4.1.1.47 2.7.1.165 1.1.1.- 1.1.99.14
superpathway of glycol metabolism and degradation	4.1.1.47 2.7.1.165 1.1.1.- 1.1.99.14 2.3.3.9 1.2.1.21 1.1.1.77
superpathway of glycolysis and the Entner-Doudoroff pathway	1.2.1.12 2.7.9.2 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 5.3.1.1 4.1.2.13 2.7.1.11 3.1.3.11 5.3.1.9 3.1.1.31 4.1.2.55 4.1.2.14 4.2.1.12 1.1.1.49
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	3.1.3.11 1.1.5.4 1.1.1.37 4.2.1.2 1.3.5.1 6.2.1.5 1.2.1.M9 1.1.1.42 2.3.3.9 4.1.3.1 2.3.3.16 2.3.3.1 1.2.1.M10 2.7.9.2 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.7.1.11 5.3.1.9
glycolysis I (from glucose 6-phosphate)	5.3.1.1 4.1.2.13 2.7.9.2 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 1.2.1.12 3.1.3.11 2.7.1.11 5.3.1.9
glycolate and glyoxylate degradation II	2.3.3.9 1.1.99.14
glyoxylate cycle	4.1.3.1 2.3.3.16 2.3.3.1 1.1.1.37 2.3.3.9
glycine biosynthesis III	2.6.1.44
glycine biosynthesis I	2.1.2.1
glycine biosynthesis IV	4.1.2.48 4.1.2.5
superpathway of glycerol degradation to 1,3-propanediol	4.2.1.30 1.1.1.202 1.1.1.6 2.7.1.29
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	1.14.12.19 3.7.1.14 1.13.11.16 1.3.1.87 1.14.13.127
heme <i>b</i> biosynthesis I (aerobic)	1.3.3.3 4.1.1.37 4.99.1.1 1.3.3.4
heme <i>b</i> biosynthesis II (anaerobic)	1.3.5.3 4.99.1.1 4.1.1.37 1.3.98.3
superpathway of hexitol degradation (bacteria)	5.3.1.1 2.7.9.2 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 1.2.1.12 4.1.2.13 2.7.1.11 3.1.3.11 1.1.1.17 1.1.1.140 2.7.1.144 4.1.2.40 1.1.1.251 2.7.1.200
hexaprenyl diphosphate biosynthesis	2.5.1.83
L-histidine degradation I	4.2.1.49 3.5.3.8 3.5.2.7 4.3.1.3
L-histidine degradation VI	4.2.1.49 3.5.2.7 1.17.3.- 4.3.1.3
L-histidine degradation IV	2.6.1.38 1.1.1.111
L-histidine biosynthesis	3.1.3.15 2.6.1.9 4.2.1.19 4.3.2.10 5.3.1.16 3.6.1.31 3.5.4.19 2.4.2.17
L-cysteine biosynthesis III (from L-homocysteine)	3.5.99.10 4.2.1.22
L-methionine biosynthesis I	3.5.99.10 2.1.1.13 2.1.1.14 2.5.1.48 2.3.1.46
L-homoserine biosynthesis	1.1.1.3 2.7.2.4 1.2.1.11
L-threonine biosynthesis	2.7.1.39 4.2.3.1
L-methionine biosynthesis III	2.5.1.49 2.1.1.13 2.1.1.14 2.3.1.31
<i>trans</i>-4-hydroxy-L-proline degradation I	4.1.3.16 2.6.1.23 1.2.1.- 1.5.5.3
L-idonate degradation	2.7.1.12 1.1.1.264 1.1.1.69
L-isoleucine degradation I	1.3.8.5 2.3.1.16 1.1.1.178 4.2.1.17 2.6.1.42 1.2.1.25
L-isoleucine biosynthesis I (from threonine)	2.2.1.6 2.6.1.42 4.2.1.9 1.1.1.86 3.5.99.10
(Kdo)<sub>2</sub>-lipid A biosynthesis I	2.3.1.243 2.3.1.241
superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	2.4.99.13 2.3.1.243 2.3.1.242 2.3.1.243 2.3.1.241 2.4.1.182 2.4.99.12 2.7.1.130 3.6.1.54 2.3.1.191 3.5.1.108 2.3.1.129 2.7.7.38 3.1.3.45 2.5.1.55 5.3.1.13
Kdo transfer to lipid IV<sub>A</sub> I	2.4.99.13 2.4.99.12
ketogluconate metabolism	2.7.1.12 1.1.1.264 1.1.1.215 1.1.1.69 1.1.1.274 1.1.1.- 1.1.1.346 1.1.1.-
lactose and galactose degradation I	2.7.1.144 4.1.2.40 3.2.1.85 5.3.1.26
lactose degradation II	1.1.1.- 3.2.1.23 1.1.99.13
xylitol degradation	1.1.1.9 2.7.1.17
L-cysteine degradation II	3.5.99.10
L-leucine degradation I	2.6.1.6 2.6.1.42 4.1.3.4 4.2.1.18 6.4.1.4 1.3.8.4 1.2.1.25
L-leucine biosynthesis	2.3.3.13 2.6.1.6 2.6.1.42
lipid A-core biosynthesis (<i>E. coli</i> K-12)	2.4.1.73 2.4.1.56 2.4.1.M47 2.4.1.58 2.4.-.- 2.4.1.44 2.7.1.- 2.4.-.- 2.7.1.- 2.4.1.- 2.4.1.-
triacylglycerol degradation	3.1.1.23 3.1.1.34 3.1.1.79 3.1.1.3
phospholipases	3.1.4.11 3.1.4.4 3.1.1.4 3.1.1.32 3.1.4.3
superpathway of lipopolysaccharide biosynthesis	2.7.1.130 2.4.1.56 2.4.1.M47 2.4.1.58 2.4.1.73 2.4.1.44 2.7.1.- 2.4.-.- 2.7.1.- 2.4.1.- 2.4.1.- 2.4.-.- 2.3.1.243 2.3.1.241 2.4.99.13 2.4.99.12 3.6.1.54 2.4.1.182 2.3.1.191 3.5.1.108 2.3.1.129 2.7.7.38 3.1.3.45 2.5.1.55 5.3.1.13
L-lysine degradation III	3.5.1.- 1.2.1.20 2.6.1.48 2.3.1.- 1.1.1.- 2.6.1.-
L-lysine biosynthesis IV	1.5.1.7 1.5.1.10 2.3.3.14 2.6.1.39 4.2.1.36 1.1.1.87 1.1.1.286
L-lysine degradation XI (mammalian)	1.5.1.8 1.2.1.M9 2.6.1.39 1.2.1.31 1.5.1.9
L-lyxose degradation	5.1.3.22 5.1.3.4 5.1.3.- 2.7.1.53
L-aspartate degradation II	1.1.1.37 2.6.1.1
maltose degradation	5.4.2.6 2.4.1.8
D-mannose degradation	5.3.1.8
mannitol degradation I	1.1.1.17
protein <i>N</i>-glycosylation initial phase (eukaryotic)	2.4.1.83 2.4.99.18 2.4.1.256 2.4.1.265 2.4.1.267 2.4.1.261 2.4.1.260 2.4.1.259 2.4.1.258 2.4.1.117 2.7.8.15 2.4.1.131 2.4.1.257 2.4.1.132 2.4.1.142 2.4.1.141
<I>m</I>-cresol degradation	1.14.13.- 1.14.13.23 1.14.13.24 1.2.1.7 1.1.1.90
menaquinol-8 biosynthesis	2.1.1.163
methanogenesis from acetate	2.3.1.8 2.1.1.- 2.7.2.15 2.7.2.1 1.2.7.4 2.1.1.245 2.3.1.169
methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>	2.1.1.86 1.12.98.2 1.5.98.2 1.2.7.12 2.3.1.101 3.5.4.27
methyl-coenzyme M reduction to methane	2.8.4.1
superpathway of methylglyoxal degradation	1.1.5.12 1.1.1.- 1.2.1.22 1.1.1.283 4.4.1.5 3.1.2.6
L-methionine degradation I (to L-homocysteine)	3.3.1.1 2.1.1.- 2.5.1.6
methylgallate degradation	4.1.3.17 4.1.1.112 1.13.11.- 3.1.1.57 4.2.1.83 5.3.2.8
superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	2.1.1.14 2.5.1.6 2.3.1.46 2.5.1.48 2.1.1.13 3.5.99.10 2.7.2.4 1.2.1.11 1.1.1.3
superpathway of L-homoserine and L-methionine biosynthesis	1.1.1.3 3.5.99.10 2.1.1.13 2.1.1.14 2.5.1.48 2.3.1.46 1.2.1.11 2.7.2.4
methylglyoxal degradation VI	1.1.2.4 1.1.1.77 1.1.1.78
nitrogen fixation I (ferredoxin)	1.18.6.1
NAD biosynthesis III (from nicotinamide)	2.7.7.1 2.4.2.12
NAD salvage pathway III (to nicotinamide riboside)	3.1.3.2 3.1.3.1 3.1.3.5 3.6.1.22
NAD phosphorylation and transhydrogenation	7.1.1.1 2.7.1.23
NAD phosphorylation and dephosphorylation	2.7.1.23 3.1.3.2 3.1.3.1 7.1.1.1
NAD <i>de novo</i> biosynthesis II (from tryptophan)	2.4.2.19 3.7.1.3 2.7.7.18 1.13.11.11 1.13.11.52 6.3.5.1 1.13.11.6 1.14.13.9 3.5.1.9
lipid IV<sub>A</sub> biosynthesis	2.3.1.129 2.7.1.130 2.4.1.182 3.6.1.54 2.3.1.191 3.5.1.108
methylerythritol phosphate pathway I	4.6.1.12 5.3.3.2 1.17.7.4 1.17.7.4 1.17.7.3 2.7.1.148 2.7.7.60 1.1.1.267 2.2.1.7
pentose phosphate pathway (non-oxidative branch)	2.2.1.2 2.2.1.1 2.2.1.1 5.1.3.1 5.3.1.6
nopaline degradation	1.5.-.-
Entner-Doudoroff pathway II (non-phosphorylative)	2.7.1.40 1.2.7.1 2.7.1.165 4.2.1.11 3.1.1.17 1.2.99.8 4.1.2.51 4.2.1.140 4.2.1.39 1.1.1.119 1.1.1.360
<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	5.4.99.9 5.1.3.13 1.1.1.133 2.7.7.24 4.2.1.46 2.7.7.23 2.3.1.157 2.6.1.16 5.4.2.10 5.3.1.9
octopine degradation	1.5.-.-
L-ornithine degradation I (L-proline biosynthesis)	4.3.1.12
superpathway of L-arginine and L-ornithine degradation	1.2.1.19 1.2.1.79 1.2.1.24 2.6.1.19 2.6.1.82 4.1.1.17 3.5.1.94 1.2.1.99 1.4.3.M3 6.3.1.11 4.1.1.19 3.5.3.11
